encoder,learner,scenario,metric,mean,sd,ci95,n
Transformer,IPPO,,dwell,8.080000000000002,0.40280350875664783,"[7.791851728261719, 8.368148271738285]",10
Transformer,IPPO,,depth,5.5558,0.18633410852551932,"[5.422504608648382, 5.689095391351617]",10
Transformer,IPPO,,protected,0.46160000000000007,0.027805674880418848,"[0.4417090184491174, 0.4814909815508827]",10
GRU,IPPO,,dwell,7.998399999999999,0.44128781235530745,"[7.682721715910944, 8.314078284089055]",10
GRU,IPPO,,depth,5.5046,0.23003391054364133,"[5.340043653485168, 5.669156346514832]",10
GRU,IPPO,,protected,0.483,0.0435558390013453,"[0.45184202977504123, 0.5141579702249588]",10
LSTM,IPPO,,dwell,8.1858,0.4877845152660479,"[7.83685997837888, 8.53474002162112]",10
LSTM,IPPO,,depth,5.5772,0.28020659045306795,"[5.376752280420905, 5.777647719579096]",10
LSTM,IPPO,,protected,0.46580000000000005,0.040060509787625584,"[0.4371424376667167, 0.4944575623332834]",10
Transformer,MAPPO,,dwell,8.6124,0.36944017708479476,"[8.348118417979366, 8.876681582020632]",10
Transformer,MAPPO,,depth,5.831799999999999,0.20426660139250483,"[5.685676476034714, 5.977923523965285]",10
Transformer,MAPPO,,protected,0.497,0.026486894033758576,"[0.47805241743523763, 0.5159475825647624]",10
GRU,MAPPO,,dwell,8.445200000000002,0.5791765802508861,"[8.030882033541058, 8.859517966458945]",10
GRU,MAPPO,,depth,5.746,0.35416129407689695,"[5.492648272454585, 5.999351727545416]",10
GRU,MAPPO,,protected,0.47759999999999997,0.03620681335513157,"[0.4516992060232157, 0.5035007939767843]",10
LSTM,MAPPO,,dwell,8.4566,0.3235539453561887,"[8.225143450735395, 8.688056549264605]",10
LSTM,MAPPO,,depth,5.7522,0.21681420617662478,"[5.597100460299004, 5.907299539700996]",10
LSTM,MAPPO,,protected,0.48580000000000007,0.04242064486910957,"[0.4554540987371535, 0.5161459012628467]",10
NoHistory,IPPO,,dwell,6.2623999999999995,0.35115150259934497,"[6.011201347573582, 6.513598652426417]",10
NoHistory,IPPO,,depth,4.548599999999999,0.24759115044318084,"[4.371483960673247, 4.72571603932675]",10
NoHistory,IPPO,,protected,0.36079999999999995,0.0321275236795147,"[0.33781735406412305, 0.38378264593587685]",10
NoHistory,MAPPO,,dwell,6.568400000000001,0.39741252007342587,"[6.284108209246271, 6.852691790753732]",10
NoHistory,MAPPO,,depth,4.699,0.2570883981132646,"[4.515090038964741, 4.882909961035259]",10
NoHistory,MAPPO,,protected,0.3554,0.035864560037266124,"[0.32974403929774215, 0.38105596070225783]",10
Transformer,IPPO,S1,dwell,15.556995924961422,1.0543256041770073,"[14.802776822871706, 16.311215027051137]",10
Transformer,IPPO,S1,depth,9.77537887942426,0.46074317337219983,"[9.445783068473617, 10.104974690374902]",10
Transformer,IPPO,S1,protected,0.5145473234434867,0.0654822491677481,"[0.46770414428284635, 0.5613905026041272]",10
GRU,IPPO,S1,dwell,15.571063828211384,1.1334644917523338,"[14.760232176363823, 16.381895480058947]",10
GRU,IPPO,S1,depth,9.738374377836951,0.5913252292503616,"[9.315365791418019, 10.161382964255884]",10
GRU,IPPO,S1,protected,0.5212458155229996,0.05466584614282573,"[0.48214022496399944, 0.5603514060819998]",10
LSTM,IPPO,S1,dwell,15.960243414379146,0.9101845670541793,"[15.309136598629019, 16.611350230129272]",10
LSTM,IPPO,S1,depth,9.92872716272158,0.5541210257975326,"[9.532332860173767, 10.325121465269394]",10
LSTM,IPPO,S1,protected,0.5291773935109327,0.05111523984948278,"[0.4926117536842583, 0.5657430333376071]",10
Transformer,MAPPO,S1,dwell,16.201458695535766,0.9683664808674848,"[15.508731045936702, 16.89418634513483]",10
Transformer,MAPPO,S1,depth,9.899476166475857,0.6308230787480474,"[9.448212520647765, 10.35073981230395]",10
Transformer,MAPPO,S1,protected,0.5340305210530654,0.06593570948822765,"[0.48686295592058626, 0.5811980861855445]",10
GRU,MAPPO,S1,dwell,16.508066982716212,0.9544917613607109,"[15.825264709534723, 17.1908692558977]",10
GRU,MAPPO,S1,depth,10.160487735730007,0.4983564077942571,"[9.803985037779652, 10.51699043368036]",10
GRU,MAPPO,S1,protected,0.5431439947523888,0.060626813507379036,"[0.49977418502288967, 0.5865138044818881]",10
LSTM,MAPPO,S1,dwell,16.20679273818475,1.3162099955642514,"[15.265232828150245, 17.148352648219255]",10
LSTM,MAPPO,S1,depth,10.057080396101458,0.585763204615332,"[9.638050642416372, 10.476110149786544]",10
LSTM,MAPPO,S1,protected,0.5303981969777033,0.0639661892044521,"[0.4846395417816723, 0.5761568521737342]",10
NoHistory,IPPO,S1,dwell,13.370156458109687,0.5950048504512268,"[12.94451562925336, 13.795797286966014]",10
NoHistory,IPPO,S1,depth,9.12917672453135,0.44963392676531244,"[8.807527989861075, 9.450825459201624]",10
NoHistory,IPPO,S1,protected,0.4614407078467174,0.05196203587279092,"[0.42426930663682105, 0.4986121090566138]",10
NoHistory,MAPPO,S1,dwell,14.464602416738032,1.5386904070862861,"[13.363889607878043, 15.56531522559802]",10
NoHistory,MAPPO,S1,depth,9.613176122873778,0.6444339201801821,"[9.152175867631136, 10.07417637811642]",10
NoHistory,MAPPO,S1,protected,0.49721430285577195,0.07642629547596341,"[0.44254222458928694, 0.551886381122257]",10
Transformer,IPPO,S2,dwell,10.807718878120278,1.2135165633530698,"[9.939621424015872, 11.675816332224684]",10
Transformer,IPPO,S2,depth,6.869735654016134,0.7749478964448422,"[6.315371324526876, 7.424099983505392]",10
Transformer,IPPO,S2,protected,0.6598930840952827,0.12556729838590217,"[0.5700676500308485, 0.7497185181597169]",10
GRU,IPPO,S2,dwell,10.917701342685518,1.095743752900326,"[10.133853481874057, 11.70154920349698]",10
GRU,IPPO,S2,depth,6.939613919860422,0.5908026674952789,"[6.516979151601784, 7.3622486881190605]",10
GRU,IPPO,S2,protected,0.7009250736374321,0.07627593628200116,"[0.6463605558587242, 0.7554895914161399]",10
LSTM,IPPO,S2,dwell,11.011348741608568,0.8225736537979623,"[10.422914997694674, 11.599782485522462]",10
LSTM,IPPO,S2,depth,7.002656481375668,0.5615033111561922,"[6.600981210014691, 7.4043317527366455]",10
LSTM,IPPO,S2,protected,0.6693486856328296,0.08002719290804887,"[0.6121006805206102, 0.726596690745049]",10
Transformer,MAPPO,S2,dwell,11.668128618589979,0.7953338738631339,"[11.099181039369585, 12.237076197810373]",10
Transformer,MAPPO,S2,depth,7.3213571325929765,0.5317017482370132,"[6.9410006150749535, 7.7017136501109995]",10
Transformer,MAPPO,S2,protected,0.7160529063310542,0.08735969118168463,"[0.6535595479407715, 0.7785462647213369]",10
GRU,MAPPO,S2,dwell,11.44270790025287,0.888331138279615,"[10.807234085695766, 12.078181714809974]",10
GRU,MAPPO,S2,depth,7.20082369544145,0.6717773897815843,"[6.720263100386247, 7.681384290496653]",10
GRU,MAPPO,S2,protected,0.7155902164604696,0.08348011844648937,"[0.6558721372185243, 0.7753082957024149]",10
LSTM,MAPPO,S2,dwell,11.452452009498145,0.8381366093665291,"[10.852885197840962, 12.052018821155329]",10
LSTM,MAPPO,S2,depth,7.143835320922262,0.6194351807163639,"[6.700718086595625, 7.586952555248899]",10
LSTM,MAPPO,S2,protected,0.7126534997854118,0.0968891803025943,"[0.6433431555421141, 0.7819638440287096]",10
NoHistory,IPPO,S2,dwell,9.19787762848306,0.6759378672624404,"[8.71434080712979, 9.681414449836328]",10
NoHistory,IPPO,S2,depth,5.932242701017684,0.6054367531328229,"[5.499139338535663, 6.365346063499706]",10
NoHistory,IPPO,S2,protected,0.5282770822602602,0.06399924434172416,"[0.4824947808435038, 0.5740593836770165]",10
NoHistory,MAPPO,S2,dwell,9.354772114413187,0.8739754788250006,"[8.729567719986704, 9.97997650883967]",10
NoHistory,MAPPO,S2,depth,5.978441632889501,0.541263420858746,"[5.59124510682889, 6.365638158950111]",10
NoHistory,MAPPO,S2,protected,0.5346217683359589,0.0823085207133779,"[0.4757417996234145, 0.5935017370485033]",10
Transformer,IPPO,S3,dwell,8.625811902871911,0.7295178642912071,"[8.103946260622227, 9.147677545121596]",10
Transformer,IPPO,S3,depth,6.7027566863324655,0.5739675908667663,"[6.29216500640258, 7.113348366262351]",10
Transformer,IPPO,S3,protected,0.37782228927372735,0.0570688420361929,"[0.3369976990073878, 0.4186468795400669]",10
GRU,IPPO,S3,dwell,8.24134670097953,1.4758862793502667,"[7.185561258618968, 9.297132143340093]",10
GRU,IPPO,S3,depth,6.392680570688974,1.0197156991195369,"[5.663219903197109, 7.122141238180839]",10
GRU,IPPO,S3,protected,0.3538057725710688,0.10948340242070795,"[0.27548606456025004, 0.4321254805818876]",10
LSTM,IPPO,S3,dwell,8.309289798334998,0.9615343646158502,"[7.621449550278935, 8.997130046391062]",10
LSTM,IPPO,S3,depth,6.568260842248733,0.7199840823971227,"[6.0532152567169994, 7.083306427780467]",10
LSTM,IPPO,S3,protected,0.35191963143465843,0.0996505421953524,"[0.280633927891492, 0.42320533497782487]",10
Transformer,MAPPO,S3,dwell,9.167635650790329,1.5617243232050972,"[8.0504453709632, 10.284825930617458]",10
Transformer,MAPPO,S3,depth,7.136553055692763,1.099956037696157,"[6.349691907862689, 7.923414203522838]",10
Transformer,MAPPO,S3,protected,0.4161197824696843,0.0840864969082984,"[0.3559679262074521, 0.47627163873191647]",10
GRU,MAPPO,S3,dwell,8.670612330535501,1.3805083166631447,"[7.683056172460583, 9.65816848861042]",10
GRU,MAPPO,S3,depth,6.838369625885614,1.1836941367304,"[5.991605850618538, 7.685133401152689]",10
GRU,MAPPO,S3,protected,0.3888360532509973,0.12154523537382739,"[0.3018878297385, 0.4757842767634946]",10
LSTM,MAPPO,S3,dwell,8.860297249462628,0.9193224875753561,"[8.202653559161465, 9.51794093976379]",10
LSTM,MAPPO,S3,depth,6.89954873765506,0.7434300238138845,"[6.367730936013862, 7.431366539296258]",10
LSTM,MAPPO,S3,protected,0.4159207466402268,0.08335528220448005,"[0.3562919698661184, 0.47554952341433526]",10
NoHistory,IPPO,S3,dwell,4.10962520817593,0.984653290548833,"[3.405246676795083, 4.814003739556777]",10
