encoder,learner,scenario,metric,mean,sd,ci95,n
Transformer,IPPO,,dwell,3.25,,,1
Transformer,IPPO,,depth,2.75,,,1
Transformer,IPPO,,protected,0.375,,,1
GRU,IPPO,,dwell,3.75,,,1
GRU,IPPO,,depth,3.5,,,1
GRU,IPPO,,protected,0.375,,,1
LSTM,IPPO,,dwell,3.625,,,1
LSTM,IPPO,,depth,3.125,,,1
LSTM,IPPO,,protected,0.375,,,1
Transformer,MAPPO,,dwell,2.625,,,1
Transformer,MAPPO,,depth,2.375,,,1
Transformer,MAPPO,,protected,0.25,,,1
GRU,MAPPO,,dwell,2.625,,,1
GRU,MAPPO,,depth,2.375,,,1
GRU,MAPPO,,protected,0.25,,,1
LSTM,MAPPO,,dwell,3.375,,,1
LSTM,MAPPO,,depth,2.875,,,1
LSTM,MAPPO,,protected,0.375,,,1
NoHistory,IPPO,,dwell,3.375,,,1
NoHistory,IPPO,,depth,2.875,,,1
NoHistory,IPPO,,protected,0.375,,,1
NoHistory,MAPPO,,dwell,2.5,,,1
NoHistory,MAPPO,,depth,2.25,,,1
NoHistory,MAPPO,,protected,0.25,,,1
Transformer,IPPO,S1,dwell,5.5,,,1
Transformer,IPPO,S1,depth,4.5,,,1
Transformer,IPPO,S1,protected,0.5,,,1
GRU,IPPO,S1,dwell,5.0,,,1
GRU,IPPO,S1,depth,5.0,,,1
GRU,IPPO,S1,protected,0.5,,,1
LSTM,IPPO,S1,dwell,5.5,,,1
LSTM,IPPO,S1,depth,4.5,,,1
LSTM,IPPO,S1,protected,0.5,,,1
Transformer,MAPPO,S1,dwell,5.5,,,1
Transformer,MAPPO,S1,depth,4.5,,,1
Transformer,MAPPO,S1,protected,0.5,,,1
GRU,MAPPO,S1,dwell,5.5,,,1
GRU,MAPPO,S1,depth,4.5,,,1
GRU,MAPPO,S1,protected,0.5,,,1
LSTM,MAPPO,S1,dwell,5.5,,,1
LSTM,MAPPO,S1,depth,4.5,,,1
LSTM,MAPPO,S1,protected,0.5,,,1
NoHistory,IPPO,S1,dwell,5.5,,,1
NoHistory,IPPO,S1,depth,4.5,,,1
NoHistory,IPPO,S1,protected,0.5,,,1
NoHistory,MAPPO,S1,dwell,5.5,,,1
NoHistory,MAPPO,S1,depth,4.5,,,1
NoHistory,MAPPO,S1,protected,0.5,,,1
Transformer,IPPO,S2,dwell,6.0,,,1
Transformer,IPPO,S2,depth,4.0,,,1
Transformer,IPPO,S2,protected,1.0,,,1
GRU,IPPO,S2,dwell,8.0,,,1
GRU,IPPO,S2,depth,6.0,,,1
GRU,IPPO,S2,protected,1.0,,,1
LSTM,IPPO,S2,dwell,7.0,,,1
LSTM,IPPO,S2,depth,5.0,,,1
LSTM,IPPO,S2,protected,1.0,,,1
Transformer,MAPPO,S2,dwell,1.0,,,1
Transformer,MAPPO,S2,depth,1.0,,,1
Transformer,MAPPO,S2,protected,0.0,,,1
GRU,MAPPO,S2,dwell,1.0,,,1
GRU,MAPPO,S2,depth,1.0,,,1
GRU,MAPPO,S2,protected,0.0,,,1
LSTM,MAPPO,S2,dwell,7.0,,,1
LSTM,MAPPO,S2,depth,5.0,,,1
LSTM,MAPPO,S2,protected,1.0,,,1
NoHistory,IPPO,S2,dwell,7.0,,,1
NoHistory,IPPO,S2,depth,5.0,,,1
NoHistory,IPPO,S2,protected,1.0,,,1
NoHistory,MAPPO,S2,dwell,1.0,,,1
NoHistory,MAPPO,S2,depth,1.0,,,1
NoHistory,MAPPO,S2,protected,0.0,,,1
Transformer,IPPO,S3,dwell,2.0,,,1
Transformer,IPPO,S3,depth,2.0,,,1
Transformer,IPPO,S3,protected,0.0,,,1
GRU,IPPO,S3,dwell,2.0,,,1
GRU,IPPO,S3,depth,2.0,,,1
GRU,IPPO,S3,protected,0.0,,,1
LSTM,IPPO,S3,dwell,2.0,,,1
LSTM,IPPO,S3,depth,2.0,,,1
LSTM,IPPO,S3,protected,0.0,,,1
Transformer,MAPPO,S3,dwell,2.0,,,1
Transformer,MAPPO,S3,depth,2.0,,,1
Transformer,MAPPO,S3,protected,0.0,,,1
GRU,MAPPO,S3,dwell,2.0,,,1
GRU,MAPPO,S3,depth,2.0,,,1
GRU,MAPPO,S3,protected,0.0,,,1
LSTM,MAPPO,S3,dwell,2.0,,,1
LSTM,MAPPO,S3,depth,2.0,,,1
LSTM,MAPPO,S3,protected,0.0,,,1
NoHistory,IPPO,S3,dwell,2.0,,,1
NoHistory,IPPO,S3,depth,2.0,,,1
NoHistory,IPPO,S3,protected,0.0,,,1
NoHistory,MAPPO,S3,dwell,2.0,,,1
NoHistory,MAPPO,S3,depth,2.0,,,1
NoHistory,MAPPO,S3,protected,0.0,,,1
Transformer,IPPO,S6,dwell,0.0,,,1
Transformer,IPPO,S6,depth,0.0,,,1
Transformer,IPPO,S6,protected,0.0,,,1
GRU,IPPO,S6,dwell,0.0,,,1
GRU,IPPO,S6,depth,0.0,,,1
GRU,IPPO,S6,protected,0.0,,,1
LSTM,IPPO,S6,dwell,0.0,,,1
LSTM,IPPO,S6,depth,0.0,,,1
LSTM,IPPO,S6,protected,0.0,,,1
Transformer,MAPPO,S6,dwell,0.0,,,1
Transformer,MAPPO,S6,depth,0.0,,,1
Transformer,MAPPO,S6,protected,0.0,,,1
GRU,MAPPO,S6,dwell,0.0,,,1
GRU,MAPPO,S6,depth,0.0,,,1
GRU,MAPPO,S6,protected,0.0,,,1
LSTM,MAPPO,S6,dwell,0.0,,,1
LSTM,MAPPO,S6,depth,0.0,,,1
LSTM,MAPPO,S6,protected,0.0,,,1
NoHistory,IPPO,S6,dwell,0.0,,,1
NoHistory,IPPO,S6,depth,0.0,,,1
NoHistory,IPPO,S6,protected,0.0,,,1
NoHistory,MAPPO,S6,dwell,0.0,,,1
NoHistory,MAPPO,S6,depth,0.0,,,1
NoHistory,MAPPO,S6,protected,0.0,,,1
Transformer,IPPO,S7,dwell,2.3333333333333335,,,1
Transformer,IPPO,S7,depth,2.3333333333333335,,,1
Transformer,IPPO,S7,protected,0.3333333333333333,,,1
GRU,IPPO,S7,dwell,3.3333333333333335,,,1
GRU,IPPO,S7,depth,3.3333333333333335,,,1
GRU,IPPO,S7,protected,0.3333333333333333,,,1
LSTM,IPPO,S7,dwell,3.0,,,1
LSTM,IPPO,S7,depth,3.0,,,1
LSTM,IPPO,S7,protected,0.3333333333333333,,,1
Transformer,MAPPO,S7,dwell,2.3333333333333335,,,1
Transformer,MAPPO,S7,depth,2.3333333333333335,,,1
Transformer,MAPPO,S7,protected,0.3333333333333333,,,1
GRU,MAPPO,S7,dwell,2.3333333333333335,,,1
GRU,MAPPO,S7,depth,2.3333333333333335,,,1
GRU,MAPPO,S7,protected,0.3333333333333333,,,1
LSTM,MAPPO,S7,dwell,2.3333333333333335,,,1
